station_id,latitude,longitude,frequency_mhz,azimuth_deg,power_watts,zipcode,bandwidth_khz,beamwidth_deg,assigned_frequency
Little Princess,17.74663888888889,-64.72783333333334,13050.0,268.6,25.11886431509581,820,200.0,3.0,12700.0
Princess,17.745083333333334,-64.72641666666667,12725.0,268.6,25.11886431509581,820,200.0,3.0,12700.0
MT WELCOME,17.72936111111111,-64.68769444444445,13100.0,268.6,15.848931924611142,820,200.0,3.0,12700.0
Little Princess,17.74663888888889,-64.72783333333334,12725.0,276.9,54.95408738576254,820,200.0,3.0,12700.0
ROMAN HILL,18.321194444444444,-64.78402777777778,12950.0,284.5,36.30780547701016,830,200.0,3.0,12700.0
Bordeaux,18.335638888888887,-64.72602777777777,12950.0,94.5,33.11311214825915,830,200.0,3.0,12700.0
MtPleasant,17.71025,-64.81975,12725.0,268.6,25.11886431509581,840,200.0,3.0,13100.0
Global Crossing,17.761333333333333,-64.88511111111112,12725.0,1.4,41.686938347033575,840,200.0,3.0,12700.0
Caledonia,17.75861111111111,-64.87727777777778,12775.0,1.4,3.467368504525316,840,200.0,3.0,12800.0
Caledonia,17.75861111111111,-64.87727777777778,12725.0,1.4,41.686938347033575,840,200.0,3.0,12900.0
Caledonia,17.75861111111111,-64.87727777777778,12875.0,1.4,41.686938347033575,840,200.0,3.0,13250.0
Pemberton,17.744694444444445,-64.83430555555555,12725.0,1.4,52.48074602497731,840,200.0,3.0,13000.0
Global Crossing,17.761333333333333,-64.88511111111112,12775.0,1.4,3.467368504525316,840,200.0,3.0,13100.0
Blue,17.754944444444444,-64.7996111111111,12725.0,276.9,4.897788193684469,850,200.0,3.0,12700.0
Blue,17.754944444444444,-64.7996111111111,12725.0,1.4,66.06934480075964,850,200.0,3.0,12700.0
"Marquesa, Channel 11",18.279722222222222,-66.1125,13087.5,0.1,125.89254117941648,971,200.0,3.0,13250.0
5 TV Place,42.30397222222222,-71.22780555555556,12987.5,248.0,154.88166189124811,2494,200.0,3.0,13250.0
Rutherford News Bur,40.816944444444445,-74.10138888888888,12912.5,43.3,74.13102413009169,7070,200.0,3.0,13250.0
Lawrence Township,40.282777777777774,-74.68611111111112,12887.5,41.6,20.892961308540407,8648,200.0,3.0,13250.0
Roxborough,40.04416666666666,-75.24027777777778,12975.0,279.0,10000.0,19128,200.0,3.0,13250.0
Old Post Office,38.89416666666666,-77.0275,12975.0,279.0,100.0,20004,200.0,3.0,13250.0
Joint tower,38.95027777777778,-77.07944444444443,12975.0,279.0,100.0,20016,200.0,3.0,13250.0
WJLA STUDIO,38.89483333333333,-77.07019444444444,12737.5,352.6,64.56542290346559,22209,200.0,3.0,13250.0
Sharps Ridge,36.00361111111111,-83.94277777777778,13237.5,135.6,389.04514499428126,37918,200.0,3.0,13250.0
nan,38.256166666666665,-85.75772222222223,13212.5,195.0,,40202,200.0,3.0,13250.0
WEWS XMTR,41.37388888888889,-81.7175,12912.5,196.2,95.49925860214368,44134,200.0,3.0,13250.0
WHIO Studio,39.737027777777776,-84.18577777777779,12712.5,266.7,630.9573444801923,45409,200.0,3.0,13250.0
Germantown xmtr site,39.73388888888889,-84.24805555555555,13087.5,87.1,99.99999999999984,45417,200.0,3.0,13250.0
WDRB Tower,38.35027777777778,-85.84916666666666,13012.5,39.0,66.06934480075954,47119,200.0,3.0,13250.0
Studio,41.58472222222223,-93.64166666666668,13162.5,259.2,97.72372209558108,50309,200.0,3.0,13250.0
KULR Studio,45.75494444444445,-108.57402777777776,13062.5,266.8,489.7788193684461,59102,200.0,3.0,13250.0
Willis Tower,41.87891666666667,-87.6361388888889,12837.5,279.0,1.99526231496888,60606,200.0,3.0,13250.0
JOHN HANCOCK,41.898916666666665,-87.6231111111111,13237.5,116.8,251.1886431509577,60611,200.0,3.0,13250.0
Heege Road,38.56805555555556,-90.33194444444445,13237.5,61.1,794.3282347242805,63123,200.0,3.0,13250.0
Douglas St.,41.25833333333333,-95.95166666666668,13062.5,295.2,263.02679918953817,68131,200.0,3.0,13250.0
Kessler Mtn,36.018388888888886,-94.21991666666666,13012.5,41.7,223.87211385683355,72730,200.0,3.0,13250.0
"Chase Bank, TX",29.7605,-95.36408333333333,13112.5,69.7,501.18723362727246,77002,200.0,3.0,12750.0
Louisiana Street,29.758472222222224,-95.36841666666666,12837.5,,47.8630092322639,77002,200.0,3.0,12750.0
Louisiana Street,29.758472222222224,-95.36841666666666,12912.5,84.7,120.22644346174118,77002,200.0,3.0,13250.0
San Felipe,29.74941666666667,-95.48191666666666,12912.5,84.7,120.22644346174118,77057,200.0,3.0,13250.0
nan,29.50855555555556,-98.58361111111113,12787.5,279.0,1000.0,78229,200.0,3.0,13250.0
Receive (Studio),30.28383333333333,-97.74755555555556,12712.5,132.3,281.8382931264449,78705,200.0,3.0,13250.0
S FRANKLIN,31.7875,-106.4802777777778,13137.5,279.0,100.0,79930,200.0,3.0,13250.0
Amoco,39.743027777777776,-104.98691666666669,12975.0,279.0,100000.0,80202,200.0,3.0,13250.0
MISSIONARY,37.36627777777778,-107.78377777777776,13000.0,355.4,141.25375446227568,81301,200.0,3.0,13250.0
Aspen mnt,41.42538888888889,-109.1296111111111,12725.0,337.3,89.12509381337459,82901,200.0,3.0,12700.0
200 2ND STREET,41.584,-109.22038888888888,12950.0,46.8,177.82794100389228,82901,200.0,3.0,12700.0
