,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
5463,-           ,35.74013888888890,-109.44686111111100,91.5,0.01,6.0,AZ ,GALLUP PUBLIC RADIO                                                         
5464,KIZY        ,32.652027777777800,-114.3993888888890,91.5,0.01,0.0,AZ ,OZCAT ENTERTAINMENT                                                         
5465,KJZZ        ,33.33266666666670,-112.06602777777800,91.5,0.01,490.0,AZ ,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT                                  
5466,KJZZ        ,33.33261111111110,-112.06533333333300,91.5,0.01,463.0,AZ ,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT                                  
5467,K218CV,34.156416666666700,-109.23841666666700,91.5,0.01,0.0,AZ ,"BIBLE BROADCASTING NETWORK, INC.                                            "
5468,KZCF        ,37.40461111111110,-120.62694444444400,91.5,0.01,20.0,CA ,"COMMON FREQUENCY, INC                                                       "
5469,KNHM        ,40.72708333333330,-123.97394444444400,91.5,0.01,525.0,CA ,SOUTHERN OREGON UNIVERSITY                                                  
5470,KVYA        ,41.636833333333300,-120.09213888888900,91.5,0.01,-36.0,CA ,OPENSKYRADIO CORP.                                                          
5471,K218CZ,37.312444444444400,-119.67125,91.5,0.01,240.8,CA ,PACIFIC CASCADE COMMUNICATIONS CORPORATION                                  
5472,KKUP        ,37.11105555555560,-121.84438888888900,91.5,0.01,787.0,CA ,"ASSURANCE SCIENCE FOUNDATION, INC.                                          "
5473,KASK        ,38.31908333333330,-121.99302777777800,91.5,0.01,0.0,CA ,CONTINUOUS BIBLE TALK                                                       
5474,KSJV        ,36.63744444444440,-118.94397222222200,91.5,0.01,265.0,CA ,"RADIO BILINGUE, INC.                                                        "
5475,KSJV        ,36.63744444444440,-118.94397222222200,91.5,0.01,234.0,CA ,"RADIO BILINGUE, INC.                                                        "
5476,K218FK,41.85761111111110,-123.3533611111110,91.5,0.01,0.0,CA ,CSN INTERNATIONAL                                                           
5477,K218FK,41.85761111111110,-123.3533611111110,91.5,0.01,0.0,CA ,CSN INTERNATIONAL                                                           
5478,K221EV,40.56766666666670,-123.1926388888890,91.5,0.01,-215.5,CA ,"CSN INTERNATIONAL, INC.                                                     "
5479,KRQZ        ,34.83552777777780,-120.4026388888890,91.5,0.01,238.0,CA ,EL SEMBRADOR MINISTRIES                                                     
5480,KUSC        ,34.21264722222220,-118.06268888888900,91.5,0.01,891.0,CA ,UNIVERSITY OF SOUTHERN CALIFORNIA                                           
5481,KUSC        ,34.118972222222200,-118.39247222222200,91.5,0.01,298.0,CA ,UNIVERSITY OF SOUTHERN CALIFORNIA                                           
5482,KUSC        ,34.21264722222220,-118.06268888888900,91.5,0.01,891.0,CA ,UNIVERSITY OF SOUTHERN CALIFORNIA                                           
5483,KUSC        ,34.10944444444450,-118.39055555555600,91.5,0.01,288.0,CA ,UNIVERSITY OF SOUTHERN CALIFORNIA                                           
5484,KDAN        ,38.15011111111110,-122.86280555555600,91.5,0.01,0.0,CA ,OPEN SKY RADIO CORP.                                                        
5485,K218DS,33.63419444444450,-114.5991111111110,91.5,0.01,0.0,CA ,"ADVANCED MINISTRIES, INC.                                                   "
5486,K218EU,39.38905555555560,-121.17744444444400,91.5,0.01,0.0,CA ,CSN INTERNATIONAL                                                           
5487,K218DU,35.624944444444400,-117.72227777777800,91.5,0.01,-38.2,CA ,CSN INTERNATIONAL                                                           
5488,KRVH        ,38.15463888888890,-121.69772222222200,91.5,0.01,31.0,CA ,RIVER DELTA UNIFIED SCHOOL DISTRICT                                         
5489,KYDS        ,38.60905555555560,-121.3616111111110,91.5,0.01,33.0,CA ,SAN JUAN UNIFIED SCHOOL DISTRICT                                            
5490,K218CP,34.465833333333300,-119.67819444444400,91.5,0.01,0.0,CA ,CSN INTERNATIONAL                                                           
5491,KUSC-FM1,34.32972222222220,-118.60008333333300,91.5,0.01,0.0,CA ,UNIVERSITY OF SOUTHERN CALIFORNIA                                           
5492,K218EN,38.66905555555560,-122.63247222222200,91.5,0.01,0.0,CA ,"ONE MINISTRIES, INC.                                                        "
5493,KTGP        ,40.453611111111100,-120.57166666666700,91.5,0.01,323.0,CA ,HIGHLAND BAPTIST CHURCH                                                     
5494,KZYZ        ,39.32625,-123.27055555555600,91.5,0.01,545.0,CA ,MENDOCINO COUNTY PUBLIC BROADCASTING                                        
5495,KAJX        ,39.196638888888900,-106.80447222222200,91.5,0.01,-301.0,CO ,ROARING FORK PUBLIC RADIO                                                   
5496,K218FG,39.35275,-107.0931111111110,91.5,0.01,0.0,CO ,PITKIN COUNTY TRANSLATOR DEPARTMENT                                         
5497,KRCC        ,38.74525,-104.86219444444400,91.5,0.01,687.0,CO ,THE COLORADO COLLEGE                                                        
5498,KSJD        ,37.48247222222220,-108.51008333333300,91.5,0.01,95.0,CO ,"COMMUNITY RADIO PROJECT, INC.                                               "
5499,KUNC        ,40.617472222222200,-105.32802777777800,91.5,0.01,384.0,CO ,COMMUNITY RADIO FOR NORTHERN COLORADO                                       
5500,KUNC        ,40.617472222222200,-105.32802777777800,91.5,0.01,377.0,CO ,COMMUNITY RADIO FOR NORTHERN COLORADO                                       
5501,K218DY,40.51027777777780,-102.35963888888900,91.5,0.01,0.0,CO ,"TRI-STATE BROADCASTING ASSOCIATION, INC.                                    "
5502,K218BE,38.04247222222220,-107.67255555555600,91.5,0.01,0.0,CO ,"PUBLIC BROADCASTING OF COLORADO, INC.                                       "
5503,K218BP,39.44275,-107.967,91.5,0.01,0.0,CO ,EDUCATIONAL MEDIA FOUNDATION                                                
5504,K218FE,39.23886111111110,-107.21783333333300,91.5,0.01,0.0,CO ,PITKIN COUNTY TRANSLATOR DEPARTMENT                                         
5505,K218DB,37.400305555555600,-102.6193611111110,91.5,0.01,0.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        "
5506,WGRS        ,41.28861111111110,-72.65827777777780,91.5,0.01,30.1,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
5507,WGRS        ,41.28861111111110,-72.65827777777780,91.5,0.01,31.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
5508,W218AV,41.736472222222200,-73.354,91.5,0.01,163.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
5509,WTBH        ,29.459944444444400,-82.8978888888889,91.5,0.01,71.0,FL ,LONG POND BAPTIST CHURCH                                                    
5510,WPSF        ,26.71,-80.89977777777780,91.5,0.01,161.0,FL ,"CALL COMMUNICATIONS GROUP, INC.                                             "
