Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
15085,WSBH        ,28.1368055555556,-80.70325,98.5,0.01,100.0,FL ,"MARC RADIO ORLANDO, LLC                                                     "
8143,WTJS        ,35.7245277777778,-89.0597777777778,93.1,0.01,135.0,TN ,"GRACE BROADCASTING SERVICES, INC.                                           "
6310,WUIS        ,39.7836944444444,-89.4461666666667,91.9,0.01,132.8,IL ,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS                             
3971,WUOL-FM     ,38.3653333333333,-85.8399722222222,90.5,0.01,236.0,KY ,"KENTUCKY PUBLIC RADIO, INC.                                                 "
14252,WVCU-LP     ,37.4241111111111,-81.0058888888889,97.7,0.01,0.0,WV ,CONCORD UNIVERSITY                                                          
24238,WWEI        ,42.2414722222222,-72.6486944444444,105.5,0.01,280.0,MA ,"AUDACY LICENSE, LLC                                                         "
11523,WXRC        ,35.4545833333333,-81.0625833333333,95.7,0.01,311.0,NC ,"PACIFIC BROADCASTING GROUP, INC.                                            "
7231,WXRV-FM5,42.35225,-71.0562777777778,92.5,0.01,0.0,MA ,BEANPOT LICENSE CORP.                                                       
266,WYGG        ,40.21733333333329,-74.0101111111111,88.1,0.01,39.0,NJ ,"MINORITY BUSINESS & HOUSING DEVELOPMENT, INC                                "
11833,WYNT        ,40.682,-83.0074166666667,95.9,0.01,114.0,OH ,"IHM LICENSES, LLC                                                           "
6769,WYVK        ,39.0584166666667,-82.0418055555556,92.1,0.01,111.0,OH ,"TOTAL MEDIA GROUP, INC.                                                     "
3051,WZRP-LP     ,38.2630555555556,-85.5786111111111,89.9,0.01,30.0,IN ,"IN FREQUENCY, INC.                                                          "
